Age,Gender,Education_Level,Years_of_Experience,Workload,Leadership_Style,Compensation,Organizational_Support,Conscientiousness,Emotional_Resilience,Stress_Levels,Emotion_Focused_Coping,Job_Satisfaction,Productivity,Attendance,Attrition
56,Male,PhD,31,50,Supportive,108137,Moderate,2.410764481,2.788854963,2.822465496,2.755634961,2.200901817,78.64293758,94.436782,0
46,Male,Master's,30,40,Supportive,66018,Moderate,2.302808846,2.238916887,3.447616339,4.812668707,2.600939015,70.07581271,98.50618209,0
32,Female,High School,3,39,Authoritarian,38061,Low,2.890303412,2.931240373,2.494078657,3.43285309,3.759554929,71.45488917,90.76672382,1
25,Male,High School,30,58,Democratic,38609,High,4.509629382,2.292284274,3.8077888,1.879997889,4.624389799,98.39001234,93.55535365,1
38,Male,PhD,6,41,Supportive,65371,Low,1.161125227,4.355884387,4.342886387,2.91686503,1.522906066,86.19613356,98.99774835,1
56,Male,High School,29,23,Democratic,140350,Low,4.219331269,2.190694862,3.752933109,3.701617749,3.285455879,70.58938696,91.1815555,1
36,Female,Master's,8,32,Democratic,113021,Moderate,2.475950451,3.639054562,3.050330507,2.294516498,2.014916798,50.95496399,93.10668506,0
40,Male,Master's,33,39,Supportive,50805,Moderate,4.418476103,1.547928889,2.834631838,1.318566425,4.205489,51.70478489,97.78420612,0
28,Female,Bachelor's,17,32,Supportive,37857,High,4.208812035,3.747465975,3.569278604,3.333742539,1.280949223,84.24018478,95.43210987,1
28,Female,Bachelor's,11,36,Supportive,41620,High,2.39504499,4.653198846,3.719243566,4.791480674,3.755823161,91.88693798,98.32333141,1
41,Male,Bachelor's,13,55,Democratic,38177,High,3.775506141,3.434332619,3.234917774,2.940287942,1.699784055,85.38513148,91.11595393,1
53,Male,High School,11,52,Supportive,60111,High,1.638531027,3.23942152,3.4997691,4.624436323,3.385541674,70.29438763,99.20554171,0
57,Male,Master's,31,20,Authoritarian,118578,Moderate,4.585126209,4.844473072,1.38635473,4.340094353,4.342770349,51.5567869,99.34911795,0
41,Male,Bachelor's,28,34,Supportive,114181,Low,2.617964258,3.509586221,4.807062065,1.589651135,4.020322648,98.37008151,91.5531302,1
20,Female,Master's,6,32,Authoritarian,119941,High,2.822502461,2.038201733,4.163092255,3.832679687,4.011771551,99.31680311,90.33875464,1
39,Female,High School,16,36,Supportive,41826,Low,3.823036204,2.169564095,2.495711479,2.7418621,3.071381249,77.46822757,99.89841382,1
19,Male,PhD,4,43,Authoritarian,43890,Moderate,4.283360947,3.82122657,3.251250444,2.000985301,4.562982367,53.53354823,94.82251592,1
41,Male,Bachelor's,35,27,Democratic,112428,High,1.945370973,3.941746376,1.189298121,3.747753423,3.352420793,77.0486253,95.72075404,0
47,Male,High School,26,46,Democratic,147067,Moderate,3.64540056,2.213984927,1.164911256,3.970642875,4.670071874,94.61692351,96.15904734,0
55,Female,High School,12,42,Democratic,88031,High,2.567992176,2.381375912,2.00319334,1.719585275,3.186089831,83.99927551,97.89668463,0
19,Male,Master's,11,27,Supportive,149440,Low,2.474811696,4.964226035,3.758806569,4.657778728,3.023862252,85.99946155,98.11987969,1
38,Male,Bachelor's,37,27,Authoritarian,142134,Moderate,3.760103296,1.407810198,4.408590991,4.004588976,1.889412077,54.24849187,91.93925224,1
50,Female,Master's,25,45,Supportive,105020,Low,2.548733097,2.618580114,3.23674352,4.733501997,3.179146616,55.32558185,92.36636741,1
29,Female,High School,18,32,Supportive,35495,Moderate,2.384434001,1.249790125,3.128530958,2.268292875,1.562339325,56.36743882,98.76833029,1
39,Male,High School,19,58,Authoritarian,58481,High,4.343553633,4.284313448,2.609238135,4.757340063,4.478760805,95.21884168,98.19517605,0
42,Female,Bachelor's,23,56,Supportive,41267,Moderate,1.405104495,1.369383356,1.646391824,2.474070631,3.703567555,76.29248181,96.17619382,1
44,Female,Bachelor's,38,47,Authoritarian,147897,Low,3.703570491,3.696029426,1.473416405,1.215879046,4.974541794,89.57875482,99.94699159,1
59,Male,Bachelor's,18,44,Democratic,135702,Low,1.994901575,1.225933696,4.042719045,4.051877555,1.368389711,55.76456299,97.35183944,1
45,Male,PhD,26,35,Supportive,36743,Low,1.061992967,3.691420151,4.710014205,3.814032576,1.962690999,96.38213528,92.15836768,1
33,Male,PhD,6,21,Authoritarian,84800,Moderate,1.667057075,4.372147788,2.833132866,3.391643969,4.508634417,91.05710457,98.46644064,0
32,Male,PhD,4,37,Supportive,133475,High,3.426646119,2.595286108,3.637782635,2.959574978,2.581016399,61.23820724,94.14732636,0
20,Female,Master's,29,36,Supportive,78773,Low,3.836508766,3.088505974,4.657830604,1.128661081,2.86521196,93.70911166,90.36152661,1
54,Female,Bachelor's,34,49,Supportive,87042,High,1.084231134,2.606166952,1.360454532,3.498389006,4.44260755,63.17213797,93.21421278,0
24,Male,Bachelor's,17,58,Democratic,79476,High,1.145701773,2.201955035,4.081925812,2.667338461,3.0872929,60.26699397,97.63551234,1
38,Male,Bachelor's,16,32,Democratic,122105,Moderate,4.610168459,4.213053603,3.467267538,3.240837611,1.773903398,63.21219684,99.60206207,1
26,Male,Master's,2,51,Democratic,58552,Moderate,1.293223272,2.088010295,3.394548715,2.717285368,4.568120462,95.49775316,92.76136416,0
56,Male,High School,34,48,Democratic,95242,High,4.576728634,3.891773698,2.170161714,4.864224531,1.124246626,95.77959928,92.46516324,1
35,Female,Bachelor's,8,49,Supportive,75772,Low,1.912663655,1.824788317,3.735573419,3.416435605,4.581585071,66.44978873,95.63616586,1
21,Male,High School,13,37,Supportive,73730,Low,3.960071201,1.999415184,4.179191019,3.996945322,1.202080907,85.27170925,98.116839,1
42,Male,Bachelor's,8,32,Authoritarian,58948,Low,2.238932996,2.34584465,1.45143266,4.74538779,3.663397458,83.78726276,97.46525682,1
31,Male,Master's,30,40,Supportive,106311,High,4.435008102,3.35662551,3.134085724,3.366397292,1.286717519,90.32813161,95.59958903,1
26,Female,Master's,32,49,Supportive,99093,High,3.801819462,2.817689277,1.405060724,1.048250071,3.824851944,64.82547501,96.31389682,0
43,Male,High School,36,40,Supportive,99123,High,2.607253834,3.980579239,4.490296077,1.137166713,1.135885285,75.5069271,92.42098957,1
